no;idstud;idschool;studwgt;math;read;migrant;books;hisei;paredu;female;urban
1;10010001;1001;6.050190103;594;647;0;6;NA;3;1;1
2;10010084;1001;6.050190103;605;651;0;6;77;7;1;1
3;10010116;1001;5.269520412;616;539;0;5;69;7;0;1
4;10010162;1001;5.269520412;524;551;1;2;45;2;0;1
5;10010357;1001;6.050190103;685;689;0;6;66;7;1;1
6;10010720;1001;5.269520412;387;502;0;3;53;3;1;1
7;10010894;1001;5.269520412;536;503;1;4;43;4;0;1
8;10011189;1001;5.269520412;594;597;0;6;NA;NA;0;1
9;10011252;1001;6.050190103;387;580;0;6;64;7;1;1
10;10011383;1001;5.269520412;562;576;0;5;50;3;1;1
11;10011481;1001;6.050190103;476;606;0;6;70;3;0;1
12;10011561;1001;6.050190103;539;593;0;5;77;7;0;1
13;10011630;1001;6.050190103;527;626;0;6;43;3;1;1
14;10011686;1001;5.269520412;592;529;NA;6;70;2;0;1
15;10011775;1001;5.269520412;614;536;0;6;NA;NA;0;1
16;10011780;1001;6.050190103;NA;716;NA;NA;NA;NA;1;1
17;10012060;1001;5.269520412;550;565;1;5;54;7;0;1
18;10012200;1001;5.269520412;614;634;1;3;NA;NA;0;1
19;10012482;1001;5.269520412;562;511;0;3;57;3;0;1
20;10012542;1001;6.050190103;335;559;1;3;34;4;1;1
21;10012590;1001;6.050190103;616;617;1;6;43;3;0;1
22;10012662;1001;6.050190103;685;685;0;6;55;3;1;1
23;10012858;1001;6.050190103;637;NA;NA;4;71;7;1;1
24;10012871;1001;6.050190103;335;589;1;6;52;3;1;1
25;10012903;1001;5.269520412;550;549;0;4;51;7;1;1
26;10012929;1001;5.269520412;428;449;0;NA;88;3;0;1
27;10012948;1001;6.050190103;648;699;0;6;NA;3;1;1
28;10013005;1001;5.269520412;524;592;0;6;45;5;1;1
29;10013144;1001;5.269520412;550;561;1;6;38;3;0;1
30;10013364;1001;6.050190103;498;495;0;6;69;7;0;1
31;10013369;1001;6.050190103;461;553;1;3;38;5;1;1
32;10013436;1001;5.269520412;637;541;NA;3;NA;NA;1;1
33;10013592;1001;6.050190103;673;688;0;4;57;3;1;1
34;10013881;1001;5.269520412;527;496;0;6;NA;NA;0;1
35;10014125;1001;6.050190103;559;641;0;6;68;7;1;1
36;10014154;1001;5.269520412;689;550;0;3;NA;7;0;1
37;10014173;1001;6.050190103;673;640;1;4;55;7;1;1
38;10014444;1001;6.050190103;484;602;1;NA;69;7;1;1
39;10014490;1001;6.050190103;527;618;NA;5;70;6;1;1
40;10014540;1001;5.269520412;548;546;0;4;53;3;0;1
41;10014820;1001;5.269520412;524;454;0;6;NA;NA;0;1
42;10014869;1001;6.050190103;573;593;0;6;74;7;1;1
43;10014946;1001;6.050190103;584;577;0;6;NA;3;0;1
44;10015061;1001;5.269520412;446;363;NA;6;NA;NA;0;1
45;10015062;1001;6.050190103;718;671;0;6;69;7;1;1
46;10015174;1001;5.269520412;536;529;0;5;69;3;0;1
47;10015228;1001;6.050190103;689;611;1;6;71;7;0;1
48;10015258;1001;5.269520412;470;554;0;4;66;NA;1;1
49;10015286;1001;6.050190103;NA;574;NA;NA;NA;NA;0;1
50;10015615;1001;6.050190103;628;637;1;5;88;7;1;1
51;10015846;1001;5.269520412;753;560;1;2;34;2;0;1
52;10016162;1001;5.269520412;200;260;1;1;NA;7;0;1
53;10016428;1001;6.050190103;490;506;1;3;34;4;1;1
54;10016456;1001;5.269520412;559;469;1;4;71;NA;0;1
55;10016740;1001;6.050190103;729;NA;0;6;NA;7;0;1
56;10040004;1004;6.032214156;437;577;0;4;65;6;0;0
57;10040013;1004;6.306405709;605;629;0;6;88;7;0;0
58;10040015;1004;6.283556413;581;470;1;4;50;3;0;0
59;10040128;1004;6.283556413;584;502;0;5;85;7;0;0
60;10040178;1004;6.306405709;718;628;0;3;53;3;0;0
61;10040532;1004;6.283556413;703;539;0;4;53;7;0;0
62;10040543;1004;6.306405709;753;623;0;6;70;7;0;0
63;10040562;1004;6.032214156;484;484;NA;NA;NA;7;1;0
64;10040738;1004;6.283556413;651;552;0;6;53;3;0;0
65;10040873;1004;6.032214156;639;645;0;3;51;4;0;0
66;10041068;1004;6.306405709;594;522;0;4;38;7;0;0
67;10041136;1004;6.283556413;699;695;0;6;70;7;1;0
68;10041137;1004;6.032214156;637;673;0;6;51;3;1;0
69;10041138;1004;6.306405709;800;667;0;5;53;3;1;0
70;10041173;1004;6.283556413;515;458;0;4;55;NA;0;0
71;10041438;1004;6.032214156;NA;566;NA;NA;NA;NA;0;0
72;10041465;1004;6.306405709;713;601;0;6;69;7;1;0
73;10041714;1004;6.283556413;605;498;0;3;38;1;0;0
74;10041833;1004;6.283556413;524;538;0;NA;NA;NA;1;0
75;10041868;1004;6.283556413;614;538;0;3;66;6;1;0
76;10041968;1004;6.306405709;685;582;0;6;88;7;0;0
77;10042124;1004;6.032214156;484;470;0;4;NA;NA;1;0
78;10042173;1004;6.306405709;699;639;0;NA;55;3;0;0
79;10042188;1004;6.306405709;639;615;0;5;52;7;0;0
80;10042215;1004;6.032214156;515;570;0;5;25;1;1;0
81;10042259;1004;6.032214156;536;620;0;5;51;4;1;0
82;10042383;1004;6.306405709;581;570;0;5;38;5;0;0
83;10042547;1004;6.032214156;573;622;1;5;51;3;1;0
84;10042633;1004;6.306405709;651;570;0;5;59;5;1;0
85;10042718;1004;6.032214156;527;563;0;6;NA;7;0;0
86;10042760;1004;6.032214156;446;567;1;6;NA;NA;1;0
87;10042803;1004;6.032214156;446;579;0;6;69;7;1;0
88;10042816;1004;6.306405709;616;573;0;4;51;4;1;0
89;10042821;1004;6.032214156;484;544;0;6;45;3;1;0
90;10042829;1004;6.283556413;637;565;0;4;54;6;0;0
91;10042901;1004;6.283556413;614;583;0;6;70;7;1;0
92;10043095;1004;6.283556413;718;569;0;2;51;3;0;0
93;10043136;1004;6.032214156;498;613;0;6;26;1;1;0
94;10043522;1004;6.032214156;511;503;0;5;60;5;0;0
